ID;Mes;Alquiler;Comida de chester;Transporte de chester;Servicios;Salud de chester;Ocio
1;Enero;1200;800;300;250;100;2000
2;Febrero;1200;850;300;260;150;450
3;Marzo;1200;800;320;270;100;300
4;Abril;1200;820;310;260;120;400
5;Mayo;1200;850;320;270;100;250
6;Junio;1200;800;300;250;200;300
7;Julio;1200;800;350;260;100;300
8;Agosto;1200;800;300;250;300;250
9;Septiembre;1200;850;400;270;120;200
10;Octubre;1200;800;300;250;100;900
11;Noviembre;1200;850;320;270;150;200
12;Diciembre;1200;900;350;280;200;1500
